"name","distinct_id","time","sampling_factor","dataset","properties.$lib_version","properties.mp_lib","properties.Version"
"Focused 10 Minutes","laura",1512200162000,1,"$mixpanel","4.3.2","python",
"New Task","laura",1512199560000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1512200161000,1,"$mixpanel","4.3.2","python",
"Completed Task","laura",1512545584000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1512534151000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1512546340000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1512553903000,1,"$mixpanel","4.3.2","python",
"Quick Added a Task","laura",1512545228000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1512534150000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1512546338000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1512553902000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1512626260000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1512628791000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1512626259000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1512628790000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1512935298000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1512935900000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1512937773000,1,"$mixpanel","4.3.2","python",
"New Task","laura",1512934688000,1,"$mixpanel","4.3.2","python",
"New Task","laura",1512934689000,1,"$mixpanel","4.3.2","python",
"New Task","laura",1512934690000,1,"$mixpanel","4.3.2","python",
"New Task","laura",1512934690000,1,"$mixpanel","4.3.2","python",
"Switched Task","laura",1512934997000,1,"$mixpanel","4.3.2","python",
"Switched Task","laura",1512937171000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1512934986000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1512935899000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1512938069000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1512974939000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1512982210000,1,"$mixpanel","4.3.2","python",
"New Task","laura",1512974637000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1512975234000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1512982208000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1513090062000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1513090670000,1,"$mixpanel","4.3.2","python",
"New Task","laura",1513060909000,1,"$mixpanel","4.3.2","python",
"New Task","laura",1513060910000,1,"$mixpanel","4.3.2","python",
"New Task","laura",1513060910000,1,"$mixpanel","4.3.2","python",
"New Task","laura",1513089822000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1513061266000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1513091031000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1513237051000,1,"$mixpanel","4.3.2","python",
"Focused 10 Minutes","laura",1513237654000,1,"$mixpanel","4.3.2","python",
"Time Finished","laura",1513237653000,1,"$mixpanel","4.3.2","python",
"Completed Task","laura",1513671564000,1,"$mixpanel","4.3.2","python",1.1
"Focused 10 Minutes","laura",1513672175000,1,"$mixpanel","4.3.2","python",1.1
