cohort_month,activity_month,users,revenue
2016-01-01,2016-01-01,19,0
2016-01-01,2016-02-01,17,0
2016-01-01,2016-03-01,16,0
2016-01-01,2016-04-01,15,0
2016-01-01,2016-05-01,14,0
2016-01-01,2016-06-01,12,0
2016-01-01,2016-07-01,14,0
2016-01-01,2016-08-01,12,0
2016-01-01,2016-09-01,12,0
2016-01-01,2016-10-01,12,0
2016-01-01,2016-11-01,12,0
2016-01-01,2016-12-01,12,0
2016-01-01,2017-01-01,12,0
2016-01-01,2017-02-01,12,0
2016-01-01,2017-03-01,12,0
2016-01-01,2017-04-01,12,0
2016-01-01,2017-05-01,12,0
2016-01-01,2017-06-01,12,0
2016-01-01,2017-07-01,12,0
2016-01-01,2017-08-01,12,0
2016-01-01,2017-09-01,12,0
2016-01-01,2017-10-01,12,0
2016-01-01,2017-11-01,12,0
2016-01-01,2017-12-01,12,0
2016-02-01,2016-02-01,2,0
2016-02-01,2016-03-01,1,0
2016-02-01,2016-04-01,1,0
2016-02-01,2016-05-01,1,0
2016-02-01,2016-06-01,1,0
2016-02-01,2016-07-01,1,0
2016-02-01,2016-08-01,1,0
2016-02-01,2016-09-01,1,0
2016-02-01,2016-10-01,1,0
2016-02-01,2016-11-01,1,0
2016-02-01,2016-12-01,1,0
2016-02-01,2017-01-01,1,0
2016-02-01,2017-02-01,1,0
2016-02-01,2017-03-01,1,0
2016-02-01,2017-04-01,1,0
2016-02-01,2017-05-01,1,0
2016-02-01,2017-06-01,1,0
2016-02-01,2017-07-01,1,0
2016-02-01,2017-08-01,1,0
2016-02-01,2017-09-01,1,0
2016-02-01,2017-10-01,1,0
2016-02-01,2017-11-01,0,0
2016-02-01,2017-12-01,0,0
2016-03-01,2016-03-01,2,0
2016-03-01,2016-04-01,1,0
2016-03-01,2016-05-01,1,0
2016-03-01,2016-06-01,0,0
2016-03-01,2016-07-01,0,0
2016-03-01,2016-08-01,0,0
2016-03-01,2016-09-01,0,0
2016-03-01,2016-10-01,0,0
2016-03-01,2016-11-01,0,0
2016-03-01,2016-12-01,0,0
2016-03-01,2017-01-01,0,0
2016-03-01,2017-02-01,1,0
2016-03-01,2017-03-01,1,0
2016-03-01,2017-04-01,1,0
2016-03-01,2017-05-01,1,0
2016-03-01,2017-06-01,1,0
2016-03-01,2017-07-01,0,0
2016-03-01,2017-08-01,0,0
2016-03-01,2017-09-01,0,0
2016-03-01,2017-10-01,0,0
2016-03-01,2017-11-01,0,0
2016-03-01,2017-12-01,0,0
2016-04-01,2016-04-01,5,0
2016-04-01,2016-05-01,2,0
2016-04-01,2016-06-01,1,0
2016-04-01,2016-07-01,2,0
2016-04-01,2016-08-01,1,0
2016-04-01,2016-09-01,1,0
2016-04-01,2016-10-01,1,0
2016-04-01,2016-11-01,1,0
2016-04-01,2016-12-01,1,0
2016-04-01,2017-01-01,1,0
2016-04-01,2017-02-01,1,0
2016-04-01,2017-03-01,1,0
2016-04-01,2017-04-01,1,0
2016-04-01,2017-05-01,1,0
2016-04-01,2017-06-01,1,0
2016-04-01,2017-07-01,1,0
2016-04-01,2017-08-01,1,0
2016-04-01,2017-09-01,1,0
2016-04-01,2017-10-01,1,0
2016-04-01,2017-11-01,1,0
2016-04-01,2017-12-01,1,0
2016-05-01,2016-05-01,10,0
2016-05-01,2016-06-01,8,0
2016-05-01,2016-07-01,9,0
2016-05-01,2016-08-01,9,0
2016-05-01,2016-09-01,8,0
2016-05-01,2016-10-01,6,0
2016-05-01,2016-11-01,6,0
2016-05-01,2016-12-01,6,0
2016-05-01,2017-01-01,6,0
2016-05-01,2017-02-01,5,0
2016-05-01,2017-03-01,5,0
2016-05-01,2017-04-01,5,0
2016-05-01,2017-05-01,5,0
2016-05-01,2017-06-01,5,0
2016-05-01,2017-07-01,4,0
2016-05-01,2017-08-01,4,0
2016-05-01,2017-09-01,4,0
2016-05-01,2017-10-01,3,0
2016-05-01,2017-11-01,4,0
2016-05-01,2017-12-01,4,0
2016-06-01,2016-06-01,5,0
2016-06-01,2016-07-01,1,0
2016-06-01,2016-08-01,1,0
2016-06-01,2016-09-01,0,0
2016-06-01,2016-10-01,0,0
2016-06-01,2016-11-01,0,0
2016-06-01,2016-12-01,0,0
2016-06-01,2017-01-01,0,0
2016-06-01,2017-02-01,0,0
2016-06-01,2017-03-01,1,0
2016-06-01,2017-04-01,0,0
2016-06-01,2017-05-01,0,0
2016-06-01,2017-06-01,0,0
2016-06-01,2017-07-01,0,0
2016-06-01,2017-08-01,0,0
2016-06-01,2017-09-01,0,0
2016-06-01,2017-10-01,0,0
2016-06-01,2017-11-01,0,0
2016-06-01,2017-12-01,0,0
2016-07-01,2016-07-01,9,0
2016-07-01,2016-08-01,8,0
2016-07-01,2016-09-01,6,0
2016-07-01,2016-10-01,5,0
2016-07-01,2016-11-01,6,0
2016-07-01,2016-12-01,5,0
2016-07-01,2017-01-01,5,0
2016-07-01,2017-02-01,4,0
2016-07-01,2017-03-01,4,0
2016-07-01,2017-04-01,4,0
2016-07-01,2017-05-01,4,0
2016-07-01,2017-06-01,4,0
2016-07-01,2017-07-01,4,0
2016-07-01,2017-08-01,4,0
2016-07-01,2017-09-01,4,0
2016-07-01,2017-10-01,4,0
2016-07-01,2017-11-01,4,0
2016-07-01,2017-12-01,4,0
2016-08-01,2016-08-01,6,0
2016-08-01,2016-09-01,3,0
2016-08-01,2016-10-01,3,0
2016-08-01,2016-11-01,3,0
2016-08-01,2016-12-01,3,0
2016-08-01,2017-01-01,3,0
2016-08-01,2017-02-01,3,0
2016-08-01,2017-03-01,4,0
2016-08-01,2017-04-01,4,0
2016-08-01,2017-05-01,4,0
2016-08-01,2017-06-01,4,0
2016-08-01,2017-07-01,4,0
2016-08-01,2017-08-01,4,0
2016-08-01,2017-09-01,3,0
2016-08-01,2017-10-01,3,0
2016-08-01,2017-11-01,3,0
2016-08-01,2017-12-01,2,0
2016-09-01,2016-09-01,1,0
2016-09-01,2016-10-01,0,0
2016-09-01,2016-11-01,0,0
2016-09-01,2016-12-01,0,0
2016-09-01,2017-01-01,0,0
2016-09-01,2017-02-01,0,0
2016-09-01,2017-03-01,0,0
2016-09-01,2017-04-01,0,0
2016-09-01,2017-05-01,0,0
2016-09-01,2017-06-01,0,0
2016-09-01,2017-07-01,0,0
2016-09-01,2017-08-01,0,0
2016-09-01,2017-09-01,0,0
2016-09-01,2017-10-01,0,0
2016-09-01,2017-11-01,0,0
2016-09-01,2017-12-01,0,0
2016-10-01,2016-10-01,5,0
2016-10-01,2016-11-01,5,0
2016-10-01,2016-12-01,2,0
2016-10-01,2017-01-01,3,0
2016-10-01,2017-02-01,2,0
2016-10-01,2017-03-01,3,0
